,0
707,2204
708,2206
709,2218
710,2225
711,2230
712,2236
713,2237
714,2240
715,2241
716,2244
717,2247
718,2251
719,2252
720,2255
721,2256
722,2257
723,2259
724,2260
725,2261
726,2262
727,2266
728,2269
729,2272
730,2273
731,2276
732,2278
733,2281
734,2291
735,2295
736,2296
737,2302
738,2304
739,2305
740,2309
741,2315
742,2317
743,2319
744,2321
745,2323
746,2324
747,2325
748,2330
749,2333
750,2334
751,2336
752,2337
753,2343
754,2354
755,2357
756,2365
757,2370
758,2374
759,2375
760,2377
761,2381
762,2391
763,2394
764,2400
765,2401
766,2402
767,2403
768,2405
769,2407
770,2408
771,2413
772,2414
773,2415
774,2416
775,2418
776,2422
777,2423
778,2427
779,2430
780,2432
781,2435
782,2437
783,2443
784,2457
785,2462
786,2463
787,2464
788,2465
789,2468
790,2469
791,2474
792,2476
793,2478
794,2487
795,2490
796,2491
797,2498
798,2501
799,2503
800,2505
801,2506
802,2507
803,2509
804,2510
805,2512
806,2513
807,2518
808,2520
809,2527
810,2533
811,2534
812,2536
813,2537
814,2544
815,2545
816,2547
817,2549
818,2553
819,2554
820,2555
821,2556
822,2558
823,2560
824,2561
825,2562
826,2572
827,2573
828,2574
829,2579
830,2586
831,2587
832,2591
833,2595
834,2598
835,2599
836,2600
837,2603
838,2605
839,2606
840,2608
841,2610
842,2616
843,2629
844,2633
845,2634
846,2635
847,2638
848,2639
849,2640
850,2644
851,2646
852,2651
853,2652
854,2654
855,2662
856,2666
857,2668
858,2669
859,2678
860,2684
861,2685
862,2686
863,2688
864,2689
865,2693
866,2694
867,2697
868,2699
869,2705
870,2706
871,2708
872,2709
873,2710
874,2716
875,2730
876,2742
877,2745
878,2747
879,2748
880,2750
881,2752
882,2753
883,2754
884,2757
885,2760
886,2761
887,2771
888,2777
889,2780
890,2782
891,2783
892,2784
893,2787
894,2791
895,2794
896,2804
897,2807
898,2810
899,2811
900,2817
901,2819
902,2821
903,2825
904,2832
905,2834
906,2837
907,2838
908,2839
909,2842
910,2844
911,2846
912,2848
913,2850
914,2851
915,2854
916,2855
917,2858
918,2861
919,2862
920,2865
921,2873
922,2878
923,2879
924,2880
925,2886
926,2889
927,2890
928,2891
929,2894
930,2924
931,2933
932,2935
933,2939
934,2940
935,2942
936,2946
937,2947
938,2954
939,2955
940,2957
941,2959
942,2961
943,2962
944,2963
945,2964
946,2965
947,2969
948,2970
949,2971
950,2974
951,2976
952,2982
953,2984
954,2986
955,2989
956,2990
957,2991
958,2993
959,2995
960,3007
961,3009
962,3016
963,3021
964,3022
965,3023
966,3026
967,3028
968,3030
969,3032
970,3046
971,3051
972,3053
973,3054
974,3059
975,3060
976,3064
977,3066
978,3068
979,3069
980,3072
981,3073
982,3075
983,3081
984,3084
985,3085
986,3086
987,3087
988,3089
989,3095
990,3097
991,3099
992,3100
993,3104
994,3106
995,3107
996,3108
997,3123
998,3124
999,3125
1000,3127
1001,3145
1002,3148
1003,3152
1004,3158
1005,3160
1006,3163
1007,3171
1008,3182
1009,3191
1010,3197
1011,3201
1012,3204
1013,3205
1014,3206
1015,3209
1016,3215
1017,3217
1018,3218
1019,3219
1020,3220
1021,3221
1022,3227
1023,3231
1024,3232
1025,3238
1026,3240
1027,3246
1028,3247
1029,3249
1030,3252
1031,3253
1032,3254
1033,3255
1034,3258
1035,3262
1036,3264
1037,3266
1038,3273
1039,3274
1040,3277
1041,3279
1042,3281
1043,3287
1044,3288
1045,3294
1046,3307
1047,3309
1048,3315
1049,3324
1050,3329
1051,3330
1052,3332
1053,3333
1054,3336
1055,3343
1056,3345
1057,3346
1058,3352
1059,3353
1060,3359
1061,3360
1062,3363
1063,3383
1064,3388
1065,3395
1066,3410
1067,3417
1068,3418
1069,3423
1070,3424
1071,3427
1072,3429
1073,3431
1074,3432
1075,3434
1076,3437
1077,3438
1078,3440
1079,3441
1080,3444
1081,3445
1082,3450
1083,3452
1084,3456
1085,3457
1086,3458
1087,3459
1088,3460
1089,3463
1090,3464
1091,3468
1092,3470
1093,3474
1094,3476
1095,3477
1096,3484
1097,3487
1098,3488
1099,3492
1100,3498
1101,3503
1102,3505
1103,3506
1104,3509
1105,3511
1106,3518
1107,3519
1108,3520
1109,3521
1110,3523
1111,3525
1112,3526
1113,3527
1114,3530
1115,3536
1116,3539
1117,3541
1118,3542
1119,3544
1120,3546
1121,3559
1122,3561
1123,3562
1124,3563
1125,3564
1126,3565
1127,3568
1128,3569
1129,3579
1130,3584
1131,3595
1132,3596
1133,3598
1134,3599
1135,3602
1136,3606
1137,3607
1138,3612
1139,3614
1140,3616
1141,3623
1142,3625
1143,3633
1144,3634
1145,3653
1146,3654
1147,3657
1148,3664
1149,3670
1150,3671
1151,3672
1152,3673
1153,3674
1154,3676
1155,3677
1156,3681
1157,3682
1158,3685
1159,3689
1160,3690
1161,3694
1162,3701
1163,3702
1164,3704
1165,3706
1166,3707
1167,3710
1168,3712
1169,3713
1170,3714
1171,3715
1172,3716
1173,3718
1174,3719
1175,3721
1176,3723
1177,3724
1178,3733
1179,3736
1180,3739
1181,3740
1182,3749
1183,3750
1184,3753
1185,3756
1186,3758
1187,3761
1188,3763
1189,3764
1190,3765
1191,3766
1192,3767
1193,3775
1194,3779
1195,3783
1196,3786
1197,3798
1198,3800
1199,3801
1200,3802
1201,3805
1202,3807
1203,3810
1204,3818
1205,3819
1206,3820
1207,3821
1208,3824
1209,3825
1210,3827
1211,3828
1212,3829
1213,3832
1214,3834
1215,3835
1216,3840
1217,3841
1218,3842
1219,3844
1220,3846
1221,3847
1222,3848
1223,3850
1224,3854
1225,3859
1226,3863
1227,3868
1228,3871
1229,3872
1230,3873
1231,3877
1232,3878
1233,3879
1234,3881
1235,3884
1236,3885
1237,3887
1238,3888
1239,3889
1240,3890
1241,3891
1242,3896
1243,3898
1244,3900
1245,3904
1246,3907
1247,3910
1248,3913
1249,3914
1250,3915
1251,3916
1252,3918
1253,3919
1254,3921
1255,3929
1256,3930
1257,3941
1258,3948
1259,3951
1260,3953
1261,3955
1262,3957
1263,3962
1264,3965
1265,3966
1266,3970
1267,3972
1268,3976
1269,3978
1270,3983
1271,3984
1272,3986
1273,3987
1274,3988
1275,3989
1276,4001
1277,4003
1278,4004
1279,4007
1280,4009
1281,4011
1282,4012
1283,4014
1284,4015
1285,4017
1286,4018
1287,4019
1288,4020
1289,4021
1290,4022
1291,4031
1292,4037
1293,4038
1294,4039
1295,4040
1296,4044
1297,4049
1298,4051
1299,4054
1300,4056
1301,4058
1302,4066
1303,4068
1304,4070
1305,4072
1306,4074
1307,4078
1308,4081
1309,4084
1310,4085
1311,4092
1312,4097
1313,4103
1314,4104
1315,4105
1316,4106
1317,4108
1318,4109
1319,4110
1320,4111
1321,4112
1322,4117
1323,4122
1324,4123
1325,4125
1326,4126
1327,4127
1328,4128
1329,4131
1330,4135
1331,4137
1332,4140
1333,4141
1334,4148
1335,4149
1336,4151
1337,4154
1338,4156
1339,4157
1340,4160
1341,4162
1342,4163
1343,4165
1344,4174
1345,4175
1346,4177
1347,4179
1348,4180
1349,4182
1350,4184
1351,4191
1352,4192
1353,4193
1354,4196
1355,4198
1356,4199
1357,4201
1358,4202
1359,4206
1360,4212
1361,4214
1362,4222
1363,4225
1364,4226
1365,4230
1366,4232
1367,4234
1368,4239
1369,4243
1370,4267
1371,4272
1372,4279
1373,4283
1374,4292
1375,4293
1376,4298
1377,4299
1378,4301
1379,4314
1380,4318
1381,4335
1382,4337
1383,4339
1384,4340
1385,4341
1386,4342
1387,4343
1388,4346
1389,4347
1390,4352
1391,4353
1392,4356
1393,4357
1394,4361
1395,4364
1396,4365
1397,4384
1398,4386
1399,4387
1400,4391
1401,4393
1402,4394
1403,4396
1404,4401
1405,4402
1406,4409
1407,4413
1408,4414
1409,4417
1410,4421
1411,4424
1412,4425
1413,4428
1414,4430
1415,4434
1416,4436
1417,4437
1418,4438
1419,4439
1420,4440
1421,4442
1422,4443
1423,4445
1424,4446
1425,4452
1426,4456
1427,4457
1428,4459
1429,4466
1430,4467
1431,4477
1432,4484
1433,4487
